Name,JudgeName,Region,Province,Locality,Address,PostalCode,PhoneNumbers,Email,Fax,Url
Audiencia Provincial Civil nº 6,"ALCALA NAVARRO, ANTONIO",Andalucía,Málaga,Málaga,"C/ Fiscal Luis Portero García, s/n",29010,"95 193 90 16, 95 193 80 00",AtPublico.Audiencia.S6.Civil.Malaga.JUS@juntadeandalucia.es,95 193 91 16,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Civil-n--6---Malaga?provincia=29
Juzgado de Menores nº 1,"HERRERO HAYA, NATALIA",Comunidad Valenciana,Castellón/Castelló,Castelló de la Plana,"Bulevar Blasco Ibáñez, s/n",12003,"964 62 15 93, 964 62 15 94",csme01_cas@gva.es,964 62 19 31,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Menores-n--1---Castellon-de-la-Plana-Castello-de-la-Plana?provincia=12
Juzgado de Primera Instancia nº 5,"OSA FERNANDEZ, FRANCISCO JAVIER",País Vasco,Bizkaia,Bilbao,"C/ Barroeta Aldamar, 10 - 3ª Plta.",48001,"94 401 66 77, 94 401 66 50",instancia5.bilbao@justizia.eus,94 401 69 91,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--5---Bilbao?provincia=48
Juzgado de Primera Instancia nº 9,"GONZALEZ RODRIGUEZ, MARIA ESTHER",País Vasco,Bizkaia,Bilbao,"C/ Barroeta Aldamar, 10 - 4ª Plta.",48001,"94 401 66 81, 94 401 66 50",instancia9.bilbao@justizia.eus,94 401 69 91,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--9---Bilbao?provincia=48
Juzgado de Primera Instancia nº 16,"PEREZ GALLEGO, ROBERTO",Andalucía,Granada,Granada,"Avda. del Sur, 1",18014,"958 98 30 29, 958 98 30 43",AtPublico.JInstancia.16.Granada.Familia.JUS@juntadeandalucia.es,958 57 57 86,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--16---Granada?provincia=18
Juzgado de Primera Instancia nº 5,"VELAZQUEZ MORENO, SOLEDAD",Andalucía,Málaga,Málaga,"C/ Fiscal Luis Portero García, s/n",29010,"95 193 90 25, 95 193 80 00",AtPublico.JInstancia.5.Malaga.Familia1.JUS@juntadeandalucia.es,95 193 91 25,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--5---Malaga?provincia=29
Juzgado de Primera Instancia e Instrucción nº 3,,Castilla la Mancha,Ciudad Real,Tomelloso,"C/ Cervera, 14",13700,926 51 24 91,mixto3.tomelloso@justicia.es,926 51 28 92,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--3---Tomelloso?provincia=13
Juzgado de lo Social nº 4,"MERINO PALAZUELO, JOSE ANTONIO",Castilla y León,Valladolid,Valladolid,"C/ Angustias, 40-44",47003,"983 39 52 20, 983 39 48 24",social4.valladolid@justicia.es,983 20 82 19,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Social-n--4---Valladolid?provincia=47
Juzgado de lo Penal nº 4,"GARCIA-RUEDA QUESADA, EMILIO",Andalucía,Jaén,Jaén,"C/ Carmelo Torres, 15",23007,"953 96 31 45, 953 96 32 41",AtPublico.JPenal.4.Jaen.JUS@juntadeandalucia.es,953 31 90 09,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Penal-n--4---Jaen?provincia=23
Juzgado de Primera Instancia e Instrucción nº 4,"ARRIBAS ALTARRIBA, JAVIER",Canarias,Santa Cruz de Tenerife,Orotava (La),"C/ Cologán, 2",38300,"822 17 13 92, 822 17 13 93",mixto4.orotava@justiciaencanarias.org,822 17 14 76,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--4---Orotava--La-?provincia=38
Juzgado de lo Contencioso-Administrativo nº 1,"LOPEZ MUÑOZ, ESTEFANIA",Asturias,Asturias,Gijón,"Pza. Decano Eduardo Ibaseta, 1",33207,"98 519 72 86, 98 519 72 87",juzgadocontencioso1.gijon@asturias.org,98 519 72 88,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Contencioso-Administrativo-n--1---Gijon?provincia=33
Juzgado de Instrucción nº 1,"DOMINGUEZ PERNAS, NATALIA PAZ",Galicia,A Coruña,Coruña (A),"Rúa Monforte, 1. Edif. Novos Xulgados",15007,"981 18 52 25, 981 18 52 27",instrucion1.coruna@xustiza.gal,981 18 52 26,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Instruccion-n--1---Coruna--A-?provincia=15
Juzgado de Primera Instancia e Instrucción nº 5,"LUQUE DELGADO, SIXTO",Extremadura,Cáceres,Plasencia,"C/ Marino Barbero Santos, 6",10600,"927 41 40 27, 927 41 43 06",,927 42 60 40,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--5---Plasencia?provincia=10
Juzgado de Vigilancia Penitenciaria nº 2,"FRUTOS FRIAS, MARIA SONIA DE",Castilla y León,Burgos,Burgos,"Avda. Reyes Católicos, s/n. Edif. Juzgados",09005,"947 28 43 69, 947 28 43 70",,947 28 43 78,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Vigilancia-Penitenciaria-n--2---Burgos?provincia=09
Juzgado de Instrucción nº 3,"MARTINEZ PARDO, VICENTE JOSE",Cataluña,Tarragona,Tarragona,"Avda. President Lluís Companys, 10",43005,"977 92 00 13, 977 92 00 07",instruccio3.tarragona@xij.gencat.cat,977 92 00 43,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Instruccion-n--3---Tarragona?provincia=43
Juzgado de Primera Instancia nº 3,"GALVEZ JIMENEZ, JOSE",Andalucía,Cádiz,Cádiz,"C/ Los Balbos, s/n",11009,"856 10 30 89, 856 10 30 90",AtPublico.JInstancia.3.Cadiz.Familia.JUS@juntadeandalucia.es,956 01 30 88,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--3---Cadiz?provincia=11
Juzgado de Primera Instancia nº 7,"MOLES MONTOLIU, JUAN LUIS",Cataluña,Tarragona,Tarragona,"Avda. Roma, 21",43005,977 92 19 10,instancia7.tarragona@xij.gencat.cat,977 92 19 13,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--7---Tarragona?provincia=43
Juzgado de Primera Instancia e Instrucción nº 1,"PARRON CAMBERO, MARIA JESUS",Madrid,Madrid,Alcorcón,C/ Carballino s/n. Esq. c/ Timanfaya,28925,"91 612 94 61, 91 611 95 51",juzgado_alcorcon1@madrid.org,91 642 71 82,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Alcorcon?provincia=28
Juzgado de lo Penal nº 1,"QUIROS HIDALGO, MARIA LUISA",Castilla y León,Burgos,Burgos,"Avda. Reyes Católicos, s/n. Edif. Juzgados",09005,"947 28 42 34, 947 28 42 35",penal1.burgos@justicia.es,947 28 42 43,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Penal-n--1---Burgos?provincia=09
Juzgado de Primera Instancia e Instrucción nº 3,"VILLEGAS MOZOS, ROSA",Castilla y León,León,Ponferrada,"Avda. de Huertas del Sacramento, s/n",24400,"987 45 12 42, 987 45 12 15",mixto3.ponferrada@justicia.es,987 45 12 14,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--3---Ponferrada?provincia=24
Juzgado de Primera Instancia e Instrucción nº 2,,Comunidad Valenciana,Valencia/València,Xàtiva,"Pza. de la Trinidad, 5",46800,"96 227 40 25, 96 227 40 52",xami02_val@gva.es,96 228 12 79,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Xativa?provincia=46
Juzgado de Primera Instancia e Instrucción nº 1,"ANDREO RUIZ, CONSUELO",Murcia,Murcia,Lorca,"C/ Corregidor, 1",30800,968 46 67 65,mixto1.lorca@justicia.es,968 47 06 41,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Lorca?provincia=30
Juzgado de Vigilancia Penitenciaria nº 9,"ALVAREZ LOPEZ, LUIS MIGUEL",Andalucía,Jaén,Jaén,"C/ Arquitecto Berges, 16",23007,"953 33 13 86, 953 33 13 79",AtPublico.JVigilancia.9.Jaen.JUS@juntadeandalucia.es,953 01 27 62,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Vigilancia-Penitenciaria-n--9?provincia=23
Juzgado de lo Social nº 5,"PEREZ SEVILLANO, MARIA JOSE",Castilla y León,Valladolid,Valladolid,"C/ Angustias, 40-44",47003,983 45 85 23,,983 45 85 25,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Social-n--5---Valladolid?provincia=47
Juzgado de Primera Instancia e Instrucción Único,"VALVERDE MORAL, FRANCISCA",Extremadura,Badajoz,Fregenal de la Sierra,"C/ Herrerías, s/n",06340,"924 70 21 80, 924 70 21 83",mixto1.fregenaldelasierra@justicia.es,924 70 00 14,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-Unico---Fregenal-de-la-Sierra?provincia=06
Juzgado de lo Penal nº 2,"ROMERO BUCK ARSTAD, PEDRO SANTIAGO",País Vasco,Gipuzkoa,Donostia / San Sebastián,"Pza. Teresa de Calcuta, 1 (Atotxa) - 3ª Plta.",20012,"943 00 07 42, 943 00 07 00",penal2.donostia@justizia.eus,943 00 43 86,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Penal-n--2---Donostia---San-Sebastian?provincia=20
Juzgado de Primera Instancia e Instrucción nº 1,"RICO FRUTOS, NOEMI",Castilla y León,Burgos,Lerma,"C/ Audiencia, 6",09340,"947 17 00 19, 947 17 00 64",mixto1.lerma@justicia.es,947 17 05 06,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Lerma?provincia=09
Juzgado de lo Penal nº 2,"ARAMBURU GARCIA-PINTOS, MIGUEL",Galicia,Pontevedra,Pontevedra,"Praza Tomás y Valiente, s/n. A Parda",36004,"986 80 56 93, 986 80 56 94",penal2.pontevedra@xustiza.gal,986 80 56 90,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Penal-n--2---Pontevedra?provincia=36
Juzgado de Primera Instancia e Instrucción nº 2,"COLODRO GALDON, HELENA",Andalucía,Sevilla,Osuna,"C/ Alfareros, 27-29-31 (Polígono Industrial el Ejido)",41640,"95 482 22 10, 95 482 22 09",AtPublico.JMixto.2.Osuna.JUS@juntadeandalucia.es,95 482 22 11,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Osuna?provincia=41
Juzgado de lo Social nº 4,"BANDRES ERMUA, RICARDO",País Vasco,Gipuzkoa,Donostia / San Sebastián,"Pza. Teresa de Calcuta, 1 (Atotxa) - 4ª Plta.",20012,"943 00 07 74, 943 00 07 00",social4.donostia@justizia.eus,943 00 43 57,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Social-n--4---Donostia---San-Sebastian?provincia=20
Juzgado de Instrucción nº 5,"COMPOSTIZO OLARTE, MERCEDES",Cantabria,Cantabria,Santander,"Avda. Pedro San Martín, s/n",39010,"942 35 71 48, 942 34 69 69",juzgado.instruccion5@justicia.cantabria.es,942 32 52 26,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Instruccion-n--5---Santander?provincia=39
Juzgado de lo Contencioso-Administrativo nº 3,"LOPEZ LOPEZ, MARIA DOLORES",Galicia,Pontevedra,Pontevedra,Rúa Hortas,36004,"986 80 55 80, 986 80 55 79",contencioso3.pontevedra@xustiza.gal,986 80 55 81,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Contencioso-Administrativo-n--3---Pontevedra?provincia=36
Juzgado de Primera Instancia nº 9,"EGEA MARRERO, JUAN LUIS",Canarias,Las Palmas,Palmas de Gran Canaria (Las),"C/ Málaga, 2",35016,"928 11 64 80, 928 11 66 11",instancia9lpgc@justiciaencanarias.org,928 42 97 34,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--9---Palmas-de-Gran-Canaria--Las-?provincia=35
Juzgado de lo Social nº 4,"CASTELLANO GARCIA, MARIA JOSE",Navarra,Navarra,Pamplona/Iruña,"Pza. del Juez Elío, 1",31011,"848 42 56 95, 848 42 56 94",jsocpam4@navarra.es,848 42 56 96,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Social-n--4---Pamplona-Iruna?provincia=31
Juzgado de Menores nº 1,"SUBIÑAS CASTRO, BLANCA ISABEL",Castilla y León,Burgos,Burgos,"Avda. Reyes Católicos, s/n. Edif. Juzgados",09005,"947 28 40 12, 947 28 40 13",menores1.burgos@justicia.es,947 28 40 19,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Menores-n--1---Burgos?provincia=09
Juzgado de lo Penal nº 2,"GARCIA VIDAL, MARIA DELS ANGELS",Comunidad Valenciana,Castellón/Castelló,Castelló de la Plana,"Bulevar Blasco Ibáñez, s/n",12003,"964 62 14 90, 964 62 14 91",cspe02_cas@gva.es,964 62 19 26,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Penal-n--2---Castellon-de-la-Plana-Castello-de-la-Plana?provincia=12
Juzgado de Primera Instancia e Instrucción nº 4,"RODRIGUEZ MACHADO, ALBA",Extremadura,Cáceres,Plasencia,"C/ Marino Barbero Santos, 6",10600,"927 42 21 10, 927 42 71 62",mixto4.plasencia@justicia.es,927 42 47 38,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--4---Plasencia?provincia=10
Juzgado de Primera Instancia e Instrucción nº 2,"FORMOSO CASTRO, VANESSA MARIA",Galicia,Lugo,Viveiro,"Rúa Alonso Pérez, s/n - 3ª Plta.",27850,"982 88 94 52, 982 88 94 57",mixto2.viveiro@xustiza.gal,982 88 93 12,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Viveiro?provincia=27
Juzgado de lo Penal nº 1,"GOMEZ HERRERA, VALLE ELENA",Andalucía,Jaén,Jaén,"Avda. Ejército Español, 9",23007,"953 96 42 65, 953 96 21 83",AtPublico.JPenal.1.Jaen.JUS@juntadeandalucia.es,953 01 08 05,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Penal-n--1---Jaen?provincia=23
Juzgado de lo Penal nº 3,"ZUBIMENDI ALCORTA, MARIA CARMEN",País Vasco,Gipuzkoa,Donostia / San Sebastián,"Pza. Teresa de Calcuta, 1 (Atotxa) - 3ª Plta.",20012,"943 00 07 43, 943 00 07 00",penal3.donostia@justizia.eus,943 00 43 86,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Penal-n--3---Donostia---San-Sebastian?provincia=20
Juzgado de Primera Instancia e Instrucción nº 2,"MARTINEZ VALERO, LUIS",Castilla la Mancha,Albacete,Almansa,"C/ Aniceto Coloma, 22",02640,"967 34 41 00, 967 34 44 00",mixto1.almansa@justicia.es,967 34 34 57,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Almansa?provincia=02
Juzgado de Menores Único,"GARCIA ORDAS, ROSA MARIA",Castilla y León,León,León,"Ps. Sáenz de Miera, 6",24009,"987 89 51 52, 987 29 66 85",menores1.leon@justicia.es,987 89 52 33,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Menores-Unico---Leon?provincia=24
Juzgado de lo Penal nº 3,"ALEJO RICO, MARIA DEL MAR",Andalucía,Almería,Almería,Ctra. de Ronda 120,04006,"950 80 90 88, 950 80 90 56",AtPublico.JPenal.3.Almeria.JUS@juntadeandalucia.es,950 20 42 99,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Penal-n--3---Almeria?provincia=04
Juzgado de Instrucción nº 2,"CARAMES MILLAN, CARMEN DE JESUS",Galicia,A Coruña,Coruña (A),"Rúa Monforte, 1. Edif. Novos Xulgados",15007,"981 18 52 35, 981 18 52 36",instrucion2.coruna@xustiza.gal,981 18 52 37,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Instruccion-n--2---Coruna--A-?provincia=15
Juzgado de Violencia sobre la Mujer nº 1,,Andalucía,Huelva,Huelva,"C/ Alameda Sundheim, 28",21003,"959 10 66 33, 959 10 67 76",AtPublico.JViolencia.1.Huelva.JUS@juntadeandalucia.es,959 01 37 94,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Violencia-sobre-la-Mujer-n--1---Huelva?provincia=21
Juzgado de lo Social nº 5,"ANDINO AXPE, LUIS FERNANDO",País Vasco,Gipuzkoa,Donostia / San Sebastián,"Pza. Teresa de Calcuta, 1 (Atotxa) - 4ª Plta.",20012,943 00 43 92,social5.donostia@justizia.eus,943 00 43 57,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Social-n--5---Donostia---San-Sebastian?provincia=20
Juzgado de lo Mercantil nº 1,"MARQUINA ALVAREZ, MANUEL",Galicia,Pontevedra,Pontevedra,Rúa Hortas,36004,"986 80 51 63, 986 80 51 66",mercantil1.pontevedra@xustiza.gal,986 80 51 55,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Mercantil-n--1---Pontevedra?provincia=36
Juzgado de Primera Instancia e Instrucción nº 5,"PERALES JARILLO, SARA",Madrid,Madrid,Alcorcón,C/ Carballino s/n. Esq. c/ Timanfaya,28925,"91 612 02 12, 91 611 95 51",juzgado_alcorcon5@madrid.org,91 611 19 05,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--5---Alcorcon?provincia=28
Juzgado de Primera Instancia e Instrucción nº 2,"ESTEVE MALLENT, LARA",Comunidad Valenciana,Valencia/València,Llíria,"Plà de L'Arc, s/n",46160,"96 282 56 26, 96 282 56 33",limi02_val@gva.es,96 282 56 36,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Lliria?provincia=46
Juzgado de lo Contencioso-Administrativo nº 3,"TRENADO SALDAÑA, MARIA VICTORIA",Castilla la Mancha,Toledo,Toledo,"Marqués de Mendigorría, 2",45003,"925 39 61 88, 925 39 61 89",contencioso3.toledo@justicia.es,925 39 61 85,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Contencioso-Administrativo-n--3---Toledo?provincia=45
Juzgado de Primera Instancia e Instrucción nº 1,,Castilla la Mancha,Ciudad Real,Valdepeñas,"Ps. de la Estación, 9",13300,"926 32 17 65, 926 31 00 97",mixto1.valdepeñas@justicia.es,926 32 00 08,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Valdepenas?provincia=13
Juzgado de lo Penal nº 3,"MONTEAGUDO LIMERES, JULIA",Galicia,Pontevedra,Pontevedra,"Praza Tomás y Valiente, s/n. A Parda",36004,"986 80 56 78, 986 80 56 75",penal3.pontevedra@xustiza.gal,986 80 56 79,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Penal-n--3---Pontevedra?provincia=36
Juzgado de Primera Instancia e Instrucción nº 5,"HIDALGO BELMONTE, MARINA",Murcia,Murcia,Lorca,"C/ Padre Morote, s/n",30800,968 44 23 73,mixto5.lorca@justicia.es,968 44 23 39,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--5---Lorca?provincia=30
Juzgado de Primera Instancia nº 10,"LOJO CORBAL, SANTIAGO",Canarias,Las Palmas,Palmas de Gran Canaria (Las),"C/ Málaga, 2",35016,"928 11 63 88, 928 11 66 11",instancia10lpgc@justiciaencanarias.org,928 42 97 25,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--10---Palmas-de-Gran-Canaria--Las-?provincia=35
Juzgado de Instrucción nº 3,"BURGOS NEIRA, JAVIER",Illes Balears,Illes Balears,Manacor,"C/ Jaume II, 26",07500,"971 55 09 95, 971 55 57 21",instruccion3.manacor@justicia.es,971 55 60 39,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Instruccion-n--3---Manacor?provincia=07
Juzgado de Primera Instancia e Instrucción nº 1,"IZQUIERDO PUERTAS, MARIA ASUNCION",Castilla y León,Burgos,Miranda de Ebro,"Avda. República Argentina, 7",09200,"947 31 01 20, 947 31 01 61",mixto1.mirandadeebro@justicia.es,947 33 24 20,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Miranda-de-Ebro?provincia=09
Juzgado de Primera Instancia e Instrucción nº 4,"PEREZ LLEO, MARIA VANESA",Comunidad Valenciana,Castellón/Castelló,Nules,"Avda. Francisco Santa Cruz, 15",12520,"964 72 55 83, 964 72 55 87",numi04_cas@gva.es,964 72 55 82,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--4---Nules?provincia=12
Juzgado de Instrucción nº 1,"LLOVERAS POCH, INGRID",Cataluña,Girona,Girona,"Avda. Ramón Folch, 4-6",17001,972 18 17 19,instruccio1.girona@xij.gencat.cat,972 18 17 52,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Instruccion-n--1---Girona?provincia=17
Juzgado de Primera Instancia e Instrucción nº 2,"GUTIERREZ ESCOBERO, PATRICIA",Extremadura,Cáceres,Trujillo,"Pza. Mayor, 1",10200,"927 32 00 85, 927 65 95 36",mixto2.trujillo@justicia.es,927 32 12 69,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Trujillo?provincia=10
Juzgado de Primera Instancia e Instrucción nº 1,,Extremadura,Badajoz,Don Benito,"C/ Arenal, 2 - 1ª Plta.",06400,"924 80 14 43, 924 80 83 59",mixto1.donbenito@justicia.es,924 80 45 27,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Don-Benito?provincia=06
Juzgado de Primera Instancia nº 4,"MENDEZ RODRIGUEZ, KARINA",Illes Balears,Illes Balears,Manacor,"Pza. Creu i Font y Roig, s/n",07500,"971 55 59 11, 971 55 57 21",instancia4.manacor@justicia.es,971 55 41 25,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--4---Manacor?provincia=07
Juzgado de Primera Instancia e Instrucción nº 4,"PIZARRO MAYO, MARTA",Andalucía,Sevilla,Sanlúcar la Mayor,"C/ Duque de Lerma, 8",41800,"95 554 28 23, 95 554 28 61",AtPublico.JMixto.4.Smayor.JUS@juntadeandalucia.es,95 562 44 93,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--4---Sanlucar-la-Mayor?provincia=41
Juzgado de Primera Instancia nº 13,"BOIX SAMPEDRO, PAULA",País Vasco,Bizkaia,Bilbao,"C/ Barroeta Aldamar, 10 - 3ª Plta.",48001,"94 401 66 85, 94 401 66 50",instancia13.bilbao@justizia.eus,94 401 69 91,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--13---Bilbao?provincia=48
Juzgado de Primera Instancia e Instrucción nº 6,"PASTOR BAYARRI, MARIA DEL DULCE NOMBRE IGNACIA",Comunidad Valenciana,Valencia/València,Llíria,"C/ Manuel López Varela, 10",46160,"96 271 81 00, 96 271 81 02",limi06_val@gva.es,96 271 81 09,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--6---Lliria?provincia=46
Juzgado de lo Penal nº 2,"GUTIERREZ UBIERNA, MIRELLA",Castilla y León,Burgos,Burgos,"Avda. Reyes Católicos, s/n. Edif. Juzgados",09005,"947 28 42 47, 947 28 42 48",penal2.burgos@justicia.es,947 28 42 56,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Penal-n--2---Burgos?provincia=09
Juzgado de lo Contencioso-Administrativo nº 3,"HIERRO LAGE, JOSE IGNACIO",País Vasco,Gipuzkoa,Donostia / San Sebastián,"Pza. Teresa de Calcuta, 1 (Atotxa) - 3ª Plta.",20012,"943 00 07 79, 943 00 07 00",contencioso3.donostia@justizia.eus,943 00 43 69,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Contencioso-Administrativo-n--3---Donostia---San-Sebastian?provincia=20
Juzgado de lo Social nº 1,"ABRISQUETA COSTA, PEDRO",Cataluña,Girona,Girona,"Plaça de Josep Maria Lidón Corbí, 1",17001,972 94 25 45,social1.girona@xij.gencat.cat,972 94 23 79,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Social-n--1---Girona?provincia=17
Juzgado de Primera Instancia nº 10,"MARIN IBAÑEZ, CARLOS ISIDRO",Aragón,Zaragoza,Zaragoza,"Pza. Expo, 6 - 3ª Plta. Escalera F-G",50018,"976 20 81 62, 976 20 81 63",instancia10zaragoza@justicia.aragon.es,976 20 85 69,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--10---Zaragoza?provincia=50
Juzgado de Primera Instancia nº 18,"AZNAR PLANA, MARIA DEL CARMEN",Aragón,Zaragoza,Zaragoza,"Pza. Expo, 6 - 3ª Plta. Escalera G",50018,"976 20 86 74, 976 20 86 76",instancia18zaragoza@justicia.aragon.es,976 20 86 78,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--18---Zaragoza?provincia=50
Juzgado de lo Social nº 4,"FERRER CORTINES, OSCAR",Cantabria,Cantabria,Santander,"C/ Alta, 18",39008,942 24 81 07,juzgado.social4@justicia.cantabria.es,942 24 81 30,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Social-n--4---Santander?provincia=39
